Справочник международных непатентованных наименований лекарственных средств					
Общее количество элементов: 9347					
			https://nsi.eaeunion.org/portal/1016?searchText=&date=2025-09-08		
Количество выгруженных элементов: 9347					
Код международного непатентованного наименования лекарственного средства	Международное непатентованное наименование лекарственного средства на русском языке	Международное непатентованное наименование лекарственного средства на английском языке	Международное непатентованное наименование лекарственного средства на латинском языке	Вид акта	
006554	силидианин	silidianin	silidianinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006555	силикристин	silicristin	silicristinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006556	силмитасертиб	silmitasertib	silmitasertibum	13201 - Решение Коллегии Евразийской экономической комиссии	
006557	силодозин	silodosin	silodosinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006558	силперизон	silperisone	silperisonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006559	силтензепин	siltenzepine	siltenzepinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006560	силтеплаза	silteplase	silteplasum	13201 - Решение Коллегии Евразийской экономической комиссии	
006561	силтуксимаб	siltuximab	siltuximabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006562	сималдрат	simaldrate	simaldratum	13201 - Решение Коллегии Евразийской экономической комиссии	
006563	симвастатин	simvastatin	simvastatinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006564	симендан	simendan	simendanum	13201 - Решение Коллегии Евразийской экономической комиссии	
006565	сименепаг	simenepag	simenepagum	13201 - Решение Коллегии Евразийской экономической комиссии	
006566	симепревир	simeprevir	simeprevirum	13201 - Решение Коллегии Евразийской экономической комиссии	
006567	симетикон	simeticone	simeticonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006568	симетин	symetine	symetinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006569	симетрид	simetride	simetridum	13201 - Решение Коллегии Евразийской экономической комиссии	
006570	симклозен	symclosene	symclosenum	13201 - Решение Коллегии Евразийской экономической комиссии	
006571	симоктоког альфа	simoctocog alfa	simoctocogum alfa	13201 - Решение Коллегии Евразийской экономической комиссии	
006572	симотаксел	simotaxel	simotaxelum	13201 - Решение Коллегии Евразийской экономической комиссии	
006573	симтразен	simtrazene	simtrazenum	13201 - Решение Коллегии Евразийской экономической комиссии	
006574	симтузумаб	simtuzumab	simtuzumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006575	симфибрат	simfibrate	simfibratum	13201 - Решение Коллегии Евразийской экономической комиссии	
006576	синапултид	sinapultide	sinapultidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006577	синефунгин	sinefungin	sinefunginum	13201 - Решение Коллегии Евразийской экономической комиссии	
006578	синитродил	sinitrodil	sinitrodilum	13201 - Решение Коллегии Евразийской экономической комиссии	
006579	синкалид	sincalide	sincalidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006580	синтропия бромид	sintropium bromide	sintropii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006581	сипатригин	sipatrigine	sipatriginum	13201 - Решение Коллегии Евразийской экономической комиссии	
006582	сиплизумаб	siplizumab	siplizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006583	сипоглитазар	sipoglitazar	sipoglitazarum	13201 - Решение Коллегии Евразийской экономической комиссии	
006584	сипонимод	siponimod	siponimodum	13201 - Решение Коллегии Евразийской экономической комиссии	
006585	сирамезин	siramesine	siramesinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006586	сиратиазем	siratiazem	siratiazemum	13201 - Решение Коллегии Евразийской экономической комиссии	
006587	сирозингопин	syrosingopine	syrosingopinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006588	сиролимус	sirolimus	sirolimusum	13201 - Решение Коллегии Евразийской экономической комиссии	
006589	сирукумаб	sirukumab	sirukumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006590	сисапронил	sisapronil	sisapronilum	13201 - Решение Коллегии Евразийской экономической комиссии	
006591	ситаглиптин	sitagliptin	sitagliptinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006592	ситаксентан	sitaxentan	sitaxentanum	13201 - Решение Коллегии Евразийской экономической комиссии	
006593	ситалидон	sitalidone	sitalidonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006594	ситамахин	sitamaquine	sitamaquinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006595	ситафлоксацин	sitafloxacin	sitafloxacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006596	ситимаген цераденовек	sitimagene ceradenovec	sitimagenum ceradenovecum	13201 - Решение Коллегии Евразийской экономической комиссии	
006597	ситоглузид	sitogluside	sitoglusidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006598	ситофибрат	sitofibrate	sitofibratum	13201 - Решение Коллегии Евразийской экономической комиссии	
006599	ситраватиниб	sitravatinib	sitravatinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
006600	сифалимумаб	sifalimumab	sifalimumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006601	сифапразин	sifaprazine	sifaprazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006602	скваламин	squalamine	squalaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
006603	скопинаст	scopinast	scopinastum	13201 - Решение Коллегии Евразийской экономической комиссии	
006604	смилагенин	smilagenin	smilageninum	13201 - Решение Коллегии Евразийской экономической комиссии	
006605	собетиром	sobetirome	sobetiromum	13201 - Решение Коллегии Евразийской экономической комиссии	
006606	соблидотин	soblidotin	soblidotinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006607	собузоксан	sobuzoxane	sobuzoxanum	13201 - Решение Коллегии Евразийской экономической комиссии	
006608	совапревир	sovaprevir	sovaprevirum	13201 - Решение Коллегии Евразийской экономической комиссии	
006609	соделглитазар	sodelglitazar	sodelglitazarum	13201 - Решение Коллегии Евразийской экономической комиссии	
006610	солабегрон	solabegron	solabegronum	13201 - Решение Коллегии Евразийской экономической комиссии	
006611	соланезумаб	solanezumab	solanezumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006612	соласульфон	solasulfone	solasulfonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006613	солимастат	solimastat	solimastatum	13201 - Решение Коллегии Евразийской экономической комиссии	
006614	солипертин	solypertine	solypertinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006615	солитомаб	solitomab	solitomabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006616	солитромицин	solithromycin	solithromycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006617	солифенацин	solifenacin	solifenacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006618	Солнатид	solnatide	solnatidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006619	солпекаинол	solpecainol	solpecainolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006620	солцитиниб	solcitinib	solcitinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
006621	сомаваратан	somavaratan	somavaratanum	13201 - Решение Коллегии Евразийской экономической комиссии	
006622	сомавубов	somavubove	somavubovum	13201 - Решение Коллегии Евразийской экономической комиссии	
006623	сомагребов	somagrebove	somagrebovum	13201 - Решение Коллегии Евразийской экономической комиссии	
006624	сомалапор	somalapor	somalaporum	13201 - Решение Коллегии Евразийской экономической комиссии	
006625	сомантадин	somantadine	somantadinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006626	сомапацитан	somapacitan	somapacitanum	13201 - Решение Коллегии Евразийской экономической комиссии	
006627	соматозалм	somatosalm	somatosalmum	13201 - Решение Коллегии Евразийской экономической комиссии	
006628	соматорелин	somatorelin	somatorelinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006629	соматостатин	somatostatin	somatostatinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006630	соматрем	somatrem	somatremum	13201 - Решение Коллегии Евразийской экономической комиссии	
006631	соматрогон	somatrogon	somatrogonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006632	соматропин	somatropin	somatropinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006633	соматропин пэгол	somatropin pegol	somatropinum pegolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006634	соменопор	somenopor	somenoporum	13201 - Решение Коллегии Евразийской экономической комиссии	
006635	сометрибов	sometribove	sometribovum	13201 - Решение Коллегии Евразийской экономической комиссии	
006636	сометрипор	sometripor	sometriporum	13201 - Решение Коллегии Евразийской экономической комиссии	
006637	сомидобов	somidobove	somidobovum	13201 - Решение Коллегии Евразийской экономической комиссии	
006638	сомфазепор	somfasepor	somfaseporum	13201 - Решение Коллегии Евразийской экономической комиссии	
006639	сонеденозон	sonedenoson	sonedenosonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006640	сонеклозан	soneclosan	soneclosanum	13201 - Решение Коллегии Евразийской экономической комиссии	
006641	сонепипразол	sonepiprazole	sonepiprazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006642	сонермин	sonermin	sonerminum	13201 - Решение Коллегии Евразийской экономической комиссии	
006643	сонидегиб	sonidegib	sonidegibum	13201 - Решение Коллегии Евразийской экономической комиссии	
006644	сонолисиб	sonolisib	sonolisibum	13201 - Решение Коллегии Евразийской экономической комиссии	
006645	сонтузумаб	sontuzumab	sontuzumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006646	сопитазин	sopitazine	sopitazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006647	сопроксил	soproxil	soproxilum (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
006648	сопромидин	sopromidine	sopromidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006649	сорапразан	soraprazan	soraprazanum	13201 - Решение Коллегии Евразийской экономической комиссии	
006650	сорафениб	sorafenib	sorafenibum	13201 - Решение Коллегии Евразийской экономической комиссии	
006651	сорбиникат	sorbinicate	sorbinicatum	13201 - Решение Коллегии Евразийской экономической комиссии	
006652	сорбинил	sorbinil	sorbinilum	13201 - Решение Коллегии Евразийской экономической комиссии	
006653	сорбитана лаурат	sorbitan laurate	sorbitani lauras	13201 - Решение Коллегии Евразийской экономической комиссии	
006654	сорбитана олеат	sorbitan oleate	sorbitani oleas	13201 - Решение Коллегии Евразийской экономической комиссии	
006655	сорбитана пальмитат	sorbitan palmitate	sorbitani palmitas	13201 - Решение Коллегии Евразийской экономической комиссии	
006656	сорбитана сесквиолеат	sorbitan sesquioleate	sorbitani sesquioleas	13201 - Решение Коллегии Евразийской экономической комиссии	
006657	сорбитана стеарат	sorbitan stearate	sorbitani stearas	13201 - Решение Коллегии Евразийской экономической комиссии	
006658	сорбитана триолеат	sorbitan trioleate	sorbitani trioleas	13201 - Решение Коллегии Евразийской экономической комиссии	
006659	сорбитана тристеарат	sorbitan tristearate	sorbitani tristearas	13201 - Решение Коллегии Евразийской экономической комиссии	
006660	соретолид	soretolide	soretolidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006661	соривудин	sorivudine	sorivudinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006662	сорнидипин	sornidipine	sornidipinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006663	сотаглифлозин	sotagliflozin	sotagliflozinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006664	соталол	sotalol	sotalolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006665	сотатерцепт	sotatercept	sotaterceptum	13201 - Решение Коллегии Евразийской экономической комиссии	
006666	сотеренол	soterenol	soterenolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006667	сотиримод	sotirimod	sotirimodum	13201 - Решение Коллегии Евразийской экономической комиссии	
006668	сотрастаурин	sotrastaurin	sotrastaurinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006669	сотромбомодулин альфа	sothrombomodulin alfa	sothrombomodulinum alfa	13201 - Решение Коллегии Евразийской экономической комиссии	
006670	софалкон	sofalcone	sofalconum	13201 - Решение Коллегии Евразийской экономической комиссии	
006671	софигатран	sofigatran	sofigatranum	13201 - Решение Коллегии Евразийской экономической комиссии	
006672	софиниклин	sofinicline	sofiniclinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006673	софитузумаб ведотин	sofituzumab vedotin	sofituzumabum vedotinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006674	софосбувир	sofosbuvir	sofosbuvirum	13201 - Решение Коллегии Евразийской экономической комиссии	
006675	софпирония бромид	sofpironium bromide	sofpironii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006676	сохинолол	soquinolol	soquinololum	13201 - Решение Коллегии Евразийской экономической комиссии	
006677	спаглумовая кислота	spaglumic acid	acidum spaglumicum	13201 - Решение Коллегии Евразийской экономической комиссии	
006678	спанлекортемлоцел	spanlecortemlocel	spanlecortemlocelum	13201 - Решение Коллегии Евразийской экономической комиссии	
006679	Спарсентан	sparsentan	sparsentanum	13201 - Решение Коллегии Евразийской экономической комиссии	
006680	спарсомицин	sparsomycin	sparsomycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006681	спартеин	sparteine	sparteinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006682	спарфлоксацин	sparfloxacin	sparfloxacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006683	спарфозовая кислота	sparfosic acid	acidum sparfosicum	13201 - Решение Коллегии Евразийской экономической комиссии	
006684	спебрутиниб	spebrutinib	spebrutinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
006685	спектиномицин	spectinomycin	spectinomycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006686	спизофурон	spizofurone	spizofuronum	13201 - Решение Коллегии Евразийской экономической комиссии	
006687	спикламин	spiclamine	spiclaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
006688	спикломазин	spiclomazine	spiclomazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006689	спиперон	spiperone	spiperonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006690	спирадолин	spiradoline	spiradolinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006691	спиразин	spirazine	spirazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006692	спирамид	spiramide	spiramidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006693	спирамицин	spiramycin	spiramycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006694	спираприл	spirapril	spiraprilum	13201 - Решение Коллегии Евразийской экономической комиссии	
006695	спираприлат	spiraprilat	spiraprilatum	13201 - Решение Коллегии Евразийской экономической комиссии	
006696	спиргетин	spirgetine	spirgetinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006697	спирендолол	spirendolol	spirendololum	13201 - Решение Коллегии Евразийской экономической комиссии	
006698	спирилен	spirilene	spirilenum	13201 - Решение Коллегии Евразийской экономической комиссии	
006699	спирипростил	spiriprostil	spiriprostilum	13201 - Решение Коллегии Евразийской экономической комиссии	
006700	спирогерманий	spirogermanium	spirogermanium	13201 - Решение Коллегии Евразийской экономической комиссии	
006701	спироглумид	spiroglumide	spiroglumidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006702	спироксазон	spiroxasone	spiroxasonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006703	спироксатрин	spiroxatrine	spiroxatrinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006704	спироксепин	spiroxepin	spiroxepinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006705	спиромустин	spiromustine	spiromustinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006706	спиронолактон	spironolactone	spironolactonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006707	спироплатин	spiroplatin	spiroplatinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006708	спироренон	spirorenone	spirorenonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006709	спирофиллин	spirofylline	spirofyllinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006710	сприфермин	sprifermin	spriferminum	13201 - Решение Коллегии Евразийской экономической комиссии	
006711	спродиамид	sprodiamide	sprodiamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006712	ставудин	stavudine	stavudinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006713	стакофиллин	stacofylline	stacofyllinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006714	сталлимицин	stallimycin	stallimycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006715	стамулумаб	stamulumab	stamulumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006716	станнсопорфин	stannsoporfin	stannsoporfinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006717	станозолол	stanozolol	stanozololum	13201 - Решение Коллегии Евразийской экономической комиссии	
006718	стеаглат	steaglate	steaglas (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
006719	стеарилсульфамид	stearylsulfamide	stearylsulfamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006720	стеваладил	stevaladil	stevaladilum	13201 - Решение Коллегии Евразийской экономической комиссии	
006721	стенболон	stenbolone	stenbolonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006722	степронин	stepronin	steproninum	13201 - Решение Коллегии Евразийской экономической комиссии	
006723	стеркурония йодид	stercuronium iodide	stercuronii iodidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006724	стеффимицин	steffimycin	steffimycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006725	стибамина глюкозид	stibamine glucoside	stibamini glucosidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006726	стибозамин	stibosamine	stibosaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
006727	стилбазия йодид	stilbazium iodide	stilbazii iodidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006728	стилбамидин изэтионат	stilbamidine isetionate	stilbamidini isetionas	13201 - Решение Коллегии Евразийской экономической комиссии	
006729	стилония йодид	stilonium iodide	stilonii iodidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006730	стирамат	styramate	styramatum	13201 - Решение Коллегии Евразийской экономической комиссии	
006731	стиримазол	stirimazole	stirimazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006732	стирипентол	stiripentol	stiripentolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006733	стирокаинид	stirocainide	stirocainidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006734	стрептоварицин	streptovarycin	streptovarycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006735	стрептодорназа	streptodornase	streptodornasum	13201 - Решение Коллегии Евразийской экономической комиссии	
006736	стрептозоцин	streptozocin	streptozocinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006737	стрептокиназа	streptokinase	streptokinasum	13201 - Решение Коллегии Евразийской экономической комиссии	
006738	стрептомицин	streptomycin	streptomycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006739	стрептониазид	streptoniazid	streptoniazidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006740	стринолин	strinoline	strinolinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006741	субатизон	subathizone	subathizonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006742	субендазол	subendazole	subendazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006743	сувизумаб	suvizumab	suvizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006744	суворексант	suvorexant	suvorexantum	13201 - Решение Коллегии Евразийской экономической комиссии	
006745	сугаммадекс	sugammadex	sugammadexum	13201 - Решение Коллегии Евразийской экономической комиссии	
006746	судексанокс	sudexanox	sudexanoxum	13201 - Решение Коллегии Евразийской экономической комиссии	
006747	судизмаза	sudismase	sudismasum	13201 - Решение Коллегии Евразийской экономической комиссии	
006748	судоксикам	sudoxicam	sudoxicamum	13201 - Решение Коллегии Евразийской экономической комиссии	
006749	суклофенид	suclofenide	suclofenidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006750	сукралокс	sucralox	sucraloxum	13201 - Решение Коллегии Евразийской экономической комиссии	
006751	сукральфат	sucralfate	sucralfatum	13201 - Решение Коллегии Евразийской экономической комиссии	
006752	сукрозофат	sucrosofate	sucrosofatum	13201 - Решение Коллегии Евразийской экономической комиссии	
006753	суксаметония хлорид	suxamethonium chloride	suxamethonii chloridum	13201 - Решение Коллегии Евразийской экономической комиссии	
006754	суксемерид	suxemerid	suxemeridum	13201 - Решение Коллегии Евразийской экономической комиссии	
006755	суксетония хлорид	suxethonium chloride	suxethonii chloridum	13201 - Решение Коллегии Евразийской экономической комиссии	
006756	суксибузон	suxibuzone	suxibuzonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006757	сукцимер	succimer	succimerum	13201 - Решение Коллегии Евразийской экономической комиссии	
006758	сукцинилсульфатиазол	succinylsulfathiazole	succinylsulfathiazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006759	сукцинобукол	succinobucol	succinobucolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006760	сукцисульфон	succisulfone	succisulfonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006761	сулазепам	sulazepam	sulazepamum	13201 - Решение Коллегии Евразийской экономической комиссии	
006762	сулазурил	sulazuril	sulazurilum	13201 - Решение Коллегии Евразийской экономической комиссии	
006763	суламсерод	sulamserod	sulamserodum	13201 - Решение Коллегии Евразийской экономической комиссии	
006764	сулезомаб	sulesomab	sulesomabum	13201 - Решение Коллегии Евразийской экономической комиссии	
006765	сулепароид натрия	suleparoid sodium	suleparoidum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
006766	сулизатин	sulisatin	sulisatinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006767	сулизобензон	sulisobenzone	sulisobenzonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006768	суликринат	sulicrinat	sulicrinatum	13201 - Решение Коллегии Евразийской экономической комиссии	
006769	сулиндак	sulindac	sulindacum	13201 - Решение Коллегии Евразийской экономической комиссии	
006770	сулодексид	sulodexide	sulodexidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006771	сулоземид	sulosemide	sulosemidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006772	сулокарбилат	sulocarbilate	sulocarbilatum	13201 - Решение Коллегии Евразийской экономической комиссии	
006773	сулоксифен	suloxifen	suloxifenum	13201 - Решение Коллегии Евразийской экономической комиссии	
006774	сулоктидил	suloctidil	suloctidilum	13201 - Решение Коллегии Евразийской экономической комиссии	
006775	сулопенем	sulopenem	sulopenemum	13201 - Решение Коллегии Евразийской экономической комиссии	
006776	сулотробан	sulotroban	sulotrobanum	13201 - Решение Коллегии Евразийской экономической комиссии	
006777	сулофенур	sulofenur	sulofenurum	13201 - Решение Коллегии Евразийской экономической комиссии	
006778	сулукаст	sulukast	sulukastum	13201 - Решение Коллегии Евразийской экономической комиссии	
006779	сульбактам	sulbactam	sulbactamum	13201 - Решение Коллегии Евразийской экономической комиссии	
006780	сульбенициллин	sulbenicillin	sulbenicillinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006781	сульбенокс	sulbenox	sulbenoxum	13201 - Решение Коллегии Евразийской экономической комиссии	
006782	сульбентин	sulbentine	sulbentinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006783	сульбутиамин	sulbutiamine	sulbutiaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
006784	сульвераприд	sulverapride	sulverapridum	13201 - Решение Коллегии Евразийской экономической комиссии	
006785	сульгликотид	sulglicotide	sulglicotidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006786	сулькламид	sulclamide	sulclamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006787	сульконазол	sulconazole	sulconazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006788	сульмазол	sulmazole	sulmazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006789	сульмарин	sulmarin	sulmarinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006790	сульмеприд	sulmepride	sulmepridum	13201 - Решение Коллегии Евразийской экономической комиссии	
006791	сульнидазол	sulnidazole	sulnidazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006792	сульпирид	sulpiride	sulpiridum	13201 - Решение Коллегии Евразийской экономической комиссии	
006793	сульпросал	sulprosal	sulprosalum	13201 - Решение Коллегии Евразийской экономической комиссии	
006794	сульпростон	sulprostone	sulprostonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006795	сультамициллин	sultamicillin	sultamicillinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006796	сультиам	sultiame	sultiamum	13201 - Решение Коллегии Евразийской экономической комиссии	
006797	сультозиловая кислота	sultosilic acid	acidum sultosilicum	13201 - Решение Коллегии Евразийской экономической комиссии	
006798	сультоприд	sultopride	sultopridum	13201 - Решение Коллегии Евразийской экономической комиссии	
006799	сультропоний	sultroponium	sultroponium	13201 - Решение Коллегии Евразийской экономической комиссии	
006800	сульфабенз	sulfabenz	sulfabenzum	13201 - Решение Коллегии Евразийской экономической комиссии	
006801	сульфабензамид	sulfabenzamide	sulfabenzamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006802	сульфагуанидин	sulfaguanidine	sulfaguanidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006803	сульфагуанол	sulfaguanole	sulfaguanolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006804	сульфадиазин	sulfadiazine	sulfadiazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006805	сульфадиазин натрия	sulfadiazine sodium	sulfadiazinum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
006806	сульфадиасульфон натрия	sulfadiasulfone sodium	sulfadiasulfonum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
006807	сульфадикрамид	sulfadicramide	sulfadicramidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006808	сульфадиметоксин	sulfadimethoxine	sulfadimethoxinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006809	сульфадимидин	sulfadimidine	sulfadimidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006810	сульфадоксин	sulfadoxine	sulfadoxinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006811	сульфакарбамид	sulfacarbamide	sulfacarbamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006812	сульфаклозин	sulfaclozine	sulfaclozinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006813	сульфакломид	sulfaclomide	sulfaclomidum	13201 - Решение Коллегии Евразийской экономической комиссии	
006814	сульфаклоразол	sulfaclorazole	sulfaclorazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006815	сульфален	sulfalene	sulfalenum	13201 - Решение Коллегии Евразийской экономической комиссии	
006816	сульфалоксовая кислота	sulfaloxic acid	acidum sulfaloxicum	13201 - Решение Коллегии Евразийской экономической комиссии	
006817	сульфамазон	sulfamazone	sulfamazonum	13201 - Решение Коллегии Евразийской экономической комиссии	
006818	сульфамеразин	sulfamerazine	sulfamerazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006819	сульфамеразин натрия	sulfamerazine sodium	sulfamerazinum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
006820	сульфаметизол	sulfamethizole	sulfamethizolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006821	сульфаметоксазол	sulfamethoxazole	sulfamethoxazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006822	сульфаметоксидиазин	sulfametoxydiazine	sulfametoxydiazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006823	сульфаметоксипиридазин	sulfamethoxypyridazine	sulfamethoxypyridazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006824	сульфаметомидин	sulfametomidine	sulfametomidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
006825	сульфаметрол	sulfametrole	sulfametrolum	13201 - Решение Коллегии Евразийской экономической комиссии	
006826	сульфамоксол	sulfamoxole	sulfamoxolum	13201 - Решение Коллегии Евразийской экономической комиссии	
