Справочник международных непатентованных наименований лекарственных средств					
Общее количество элементов: 9347					
			https://nsi.eaeunion.org/portal/1016?searchText=&date=2025-09-08		
Количество выгруженных элементов: 9347					
Код международного непатентованного наименования лекарственного средства	Международное непатентованное наименование лекарственного средства на русском языке	Международное непатентованное наименование лекарственного средства на английском языке	Международное непатентованное наименование лекарственного средства на латинском языке	Вид акта	
000181	аксомадол	axomadol	axomadolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000182	актагардин	actagardin	actagardinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000183	актапланин	actaplanin	actaplaninum	13201 - Решение Коллегии Евразийской экономической комиссии	
000184	актарит	actarit	actaritum	13201 - Решение Коллегии Евразийской экономической комиссии	
000185	актизомид	actisomide	actisomidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000186	актинохинол	actinoquinol	actinoquinolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000187	актодигин	actodigin	actodiginum	13201 - Решение Коллегии Евразийской экономической комиссии	
000188	актоксумаб	actoxumab	actoxumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
000189	акумапимод	acumapimod	acumapimodum	13201 - Решение Коллегии Евразийской экономической комиссии	
000190	алагебрия хлорид	alagebrium chloride	alagebrium chloridum	13201 - Решение Коллегии Евразийской экономической комиссии	
000191	аладориан	aladorian	aladorianum	13201 - Решение Коллегии Евразийской экономической комиссии	
000192	алазанина триклофенат	alazanine triclofenate	alazanini triclofenas	13201 - Решение Коллегии Евразийской экономической комиссии	
000193	алалевонадифлоксацин	alalevonadifloxacin	alalevonadifloxacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000194	аламифовир	alamifovir	alamifovirum	13201 - Решение Коллегии Евразийской экономической комиссии	
000195	аланин	alanine	alaninum	13201 - Решение Коллегии Евразийской экономической комиссии	
000196	аланозин	alanosine	alanosinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000197	алапроклат	alaproclate	alaproclatum	13201 - Решение Коллегии Евразийской экономической комиссии	
000198	алатрофлоксацин	alatrofloxacin	alatrofloxacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000199	алафосфалин	alafosfalin	alafosfalinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000200	алацеприл	alacepril	alaceprilum	13201 - Решение Коллегии Евразийской экономической комиссии	
000201	алацизумаб пэгол	alacizumab pegol	alacizumabum pegolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000202	албаконазол	albaconazole	albaconazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000203	албенатид	albenatide	albenatidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000204	албендазол	albendazole	albendazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000205	албендазола оксид	albendazole oxide	albendazolum oxidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000206	албиглутид	albiglutide	albiglutidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000207	албинтерферон альфа-2b	albinterferon alfa-2b	albinterferonum alfa-2b	13201 - Решение Коллегии Евразийской экономической комиссии	
000208	албитиазолия бромид	albitiazolium bromide	albitiazolii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000209	албифиллин	albifylline	albifyllinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000210	албусоматропин	albusomatropin	albusomatropinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000211	албутоин	albutoin	albutoinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000212	албутрепенонаког альфа	albutrepenonacog alfa	albutrepenonacogum alfa	13201 - Решение Коллегии Евразийской экономической комиссии	
000213	алвамелин	alvameline	alvamelinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000214	алвелестат	alvelestat	alvelestatum	13201 - Решение Коллегии Евразийской экономической комиссии	
000215	алверин	alverine	alverinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000216	алвеспимицин	alvespimycin	alvespimycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000217	алвимопан	alvimopan	alvimopanum	13201 - Решение Коллегии Евразийской экономической комиссии	
000218	алвирцепт судотокс	alvircept sudotox	alvirceptum sudotoxum	13201 - Решение Коллегии Евразийской экономической комиссии	
000219	алвоцидиб	alvocidib	alvocidibum	13201 - Решение Коллегии Евразийской экономической комиссии	
000220	алгелдрат	algeldrate	algeldratum	13201 - Решение Коллегии Евразийской экономической комиссии	
000221	алгестон	algestone	algestonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000222	алглюкозидаза альфа	alglucosidase alfa	alglucosidasum alfa	13201 - Решение Коллегии Евразийской экономической комиссии	
000223	алглюцераза	alglucerase	alglucerasum	13201 - Решение Коллегии Евразийской экономической комиссии	
000224	алдеслейкин	aldesleukin	aldesleukinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000225	алдесульфон натрия	aldesulfone sodium	aldesulfonum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
000226	алдиокса	aldioxa	aldioxum	13201 - Решение Коллегии Евразийской экономической комиссии	
000227	алдоксорубицин	aldoxorubicin	aldoxorubicinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000228	алеглитазар	aleglitazar	aleglitazarum	13201 - Решение Коллегии Евразийской экономической комиссии	
000229	алексидин	alexidine	alexidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000230	алекситол натрия	alexitol sodium	alexitolum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
000231	алектиниб	alectinib	alectinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
000232	алемтузумаб	alemtuzumab	alemtuzumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
000233	алемцинал	alemcinal	alemcinalum	13201 - Решение Коллегии Евразийской экономической комиссии	
000234	алендроновая кислота	alendronic acid	acidum alendronicum	13201 - Решение Коллегии Евразийской экономической комиссии	
000235	алентемол	alentemol	alentemolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000236	алеплазинин	aleplasinin	aleplasininum	13201 - Решение Коллегии Евразийской экономической комиссии	
000237	алеприд	alepride	alepridum	13201 - Решение Коллегии Евразийской экономической комиссии	
000238	алестрамустин	alestramustine	alestramustinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000239	алефацепт	alefacept	alefaceptum	13201 - Решение Коллегии Евразийской экономической комиссии	
000240	алибендол	alibendol	alibendolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000241	алидорназа альфа	alidornase alfa	alidornasum alfa	13201 - Решение Коллегии Евразийской экономической комиссии	
000242	ализаприд	alizapride	alizapridum	13201 - Решение Коллегии Евразийской экономической комиссии	
000243	аликапистат	alicapistat	alicapistatum	13201 - Решение Коллегии Евразийской экономической комиссии	
000244	аликафорсен	alicaforsen	alicaforsenum	13201 - Решение Коллегии Евразийской экономической комиссии	
000245	аликдамотид	alicdamotide	alicdamotidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000246	аликоназол	aliconazole	aliconazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000247	алилузем	alilusem	alilusemum	13201 - Решение Коллегии Евразийской экономической комиссии	
000248	алимадол	alimadol	alimadolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000249	алимемазин	alimemazine	alimemazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000250	алинастин	alinastine	alinastinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000251	алинидин	alinidine	alinidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000252	алипамид	alipamide	alipamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000253	алипоген типарвовек	alipogene tiparvovec	alipogenum tiparvovecum	13201 - Решение Коллегии Евразийской экономической комиссии	
000254	алирокумаб	alirocumab	alirocumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
000255	алисертиб	alisertib	alisertibum	13201 - Решение Коллегии Евразийской экономической комиссии	
000256	алискирен	aliskiren	aliskirenum	13201 - Решение Коллегии Евразийской экономической комиссии	
000257	алиспоривир	alisporivir	alisporivirum	13201 - Решение Коллегии Евразийской экономической комиссии	
000258	алитретиноин	alitretinoin	alitretinoinum	13201 - Решение Коллегии Евразийской экономической комиссии	
